ds,y_hat,y_lower,y_upper,y
2016.07.20,1.10204,1.10293,1.09806,1.10125
2016.07.21,1.10125,1.10600,1.09788,1.10253
2016.07.22,1.10253,1.10402,1.09547,1.09764
2016.07.25,1.09701,1.09983,1.09513,1.09939
2016.07.26,1.09940,1.10290,1.09776,1.09850
2016.07.27,1.09833,1.10645,1.09608,1.10568
2016.07.28,1.10570,1.11187,1.10515,1.10764
2016.07.29,1.10763,1.11968,1.10720,1.11748
2016.08.01,1.11741,1.11824,1.11545,1.11602
2016.08.02,1.11601,1.12329,1.11577,1.12227
2016.08.03,1.12227,1.12264,1.11399,1.11484
2016.08.04,1.11484,1.11555,1.11131,1.11280
2016.08.05,1.11280,1.11605,1.10450,1.10874
2016.08.08,1.10799,1.11043,1.10713,1.10875
2016.08.09,1.10874,1.11218,1.10698,1.11161
2016.08.10,1.11159,1.11894,1.11117,1.11746
2016.08.11,1.11756,1.11907,1.11345,1.11364
2016.08.12,1.11365,1.12205,1.11304,1.11628
2016.08.15,1.11664,1.12028,1.11527,1.11821
2016.08.16,1.11823,1.13217,1.11766,1.12776
2016.08.17,1.12774,1.13153,1.12398,1.12882
2016.08.18,1.12882,1.13655,1.12836,1.13532
2016.08.19,1.13531,1.13590,1.13035,1.13237
2016.08.22,1.13083,1.13299,1.12703,1.13191
2016.08.23,1.13188,1.13543,1.13024,1.13036
2016.08.24,1.13039,1.13106,1.12445,1.12624
2016.08.25,1.12629,1.12966,1.12585,1.12821
2016.08.26,1.12818,1.13401,1.11801,1.11928
2016.08.29,1.11769,1.12070,1.11572,1.11878
2016.08.30,1.11878,1.11915,1.11313,1.11412
2016.08.31,1.11412,1.11647,1.11223,1.11566
2016.09.01,1.11567,1.12044,1.11268,1.11958
2016.09.02,1.11958,1.12514,1.11497,1.11537
2016.09.05,1.11566,1.11816,1.11388,1.11461
2016.09.06,1.11461,1.12623,1.11397,1.12545
2016.09.07,1.12544,1.12710,1.12281,1.12384
2016.09.08,1.12383,1.13263,1.12339,1.12593
2016.09.09,1.12592,1.12842,1.11977,1.12309
2016.09.12,1.12355,1.12675,1.12097,1.12338
2016.09.13,1.12338,1.12594,1.12032,1.12189
2016.09.14,1.12201,1.12733,1.12096,1.12479
2016.09.15,1.12483,1.12830,1.12183,1.12404
2016.09.16,1.12428,1.12491,1.11487,1.11556
2016.09.19,1.11520,1.11972,1.11500,1.11728
2016.09.20,1.11729,1.12127,1.11492,1.11499
2016.09.21,1.11495,1.11958,1.11224,1.11880
2016.09.22,1.11882,1.12565,1.11842,1.12066
2016.09.23,1.12068,1.12398,1.11931,1.12252
2016.09.26,1.12291,1.12782,1.12203,1.12529
2016.09.27,1.12526,1.12580,1.11902,1.12137
2016.09.28,1.12124,1.12360,1.11812,1.12162
2016.09.29,1.12162,1.12490,1.11960,1.12205
2016.09.30,1.12211,1.12499,1.11526,1.12405
2016.10.03,1.12275,1.12435,1.12045,1.12105
2016.10.04,1.12103,1.12381,1.11372,1.12038
2016.10.05,1.12038,1.12326,1.11889,1.12031
2016.10.06,1.12037,1.12117,1.11391,1.11462
2016.10.07,1.11473,1.12040,1.11037,1.12011
2016.10.10,1.11786,1.12026,1.11306,1.11369
2016.10.11,1.11368,1.11416,1.10481,1.10530
2016.10.12,1.10529,1.10669,1.10037,1.10064
2016.10.13,1.10063,1.10568,1.09848,1.10547
2016.10.14,1.10544,1.10576,1.09699,1.09702
2016.10.17,1.09681,1.10071,1.09631,1.09983
2016.10.18,1.09983,1.10256,1.09693,1.09796
2016.10.19,1.09796,1.10037,1.09543,1.09727
2016.10.20,1.09726,1.10384,1.09150,1.09284
2016.10.21,1.09285,1.09289,1.08585,1.08826
2016.10.24,1.08804,1.08989,1.08588,1.08799
2016.10.25,1.08806,1.09041,1.08502,1.08875
2016.10.26,1.08875,1.09460,1.08737,1.09070
2016.10.27,1.09067,1.09414,1.08817,1.08933
2016.10.28,1.08927,1.09910,1.08923,1.09858
2016.10.30,1.09908,1.09909,1.09777,1.09838
2016.10.31,1.09839,1.09898,1.09352,1.09760
2016.11.01,1.09758,1.10681,1.09593,1.10563
2016.11.02,1.10565,1.11223,1.10489,1.10946
2016.11.03,1.10955,1.11251,1.10590,1.11057
2016.11.04,1.11057,1.11391,1.10792,1.11386
2016.11.07,1.10593,1.11093,1.10266,1.10394
2016.11.08,1.10393,1.10663,1.10081,1.10234
2016.11.09,1.10248,1.12987,1.09064,1.09082
2016.11.10,1.09083,1.09528,1.08641,1.08904
2016.11.11,1.08891,1.09227,1.08296,1.08555
2016.11.14,1.08316,1.08405,1.07084,1.07363
2016.11.15,1.07360,1.08158,1.07133,1.07215
2016.11.16,1.07217,1.07587,1.06655,1.06894
2016.11.17,1.06897,1.07448,1.06192,1.06249
2016.11.18,1.06250,1.06420,1.05684,1.05869
2016.11.21,1.05926,1.06484,1.05780,1.06264
2016.11.22,1.06264,1.06571,1.05829,1.06247
2016.11.23,1.06255,1.06428,1.05253,1.05513
2016.11.24,1.05513,1.05845,1.05173,1.05511
2016.11.25,1.05520,1.06266,1.05377,1.05889
2016.11.28,1.06097,1.06849,1.05628,1.06132
2016.11.29,1.06132,1.06536,1.05641,1.06485
2016.11.30,1.06483,1.06658,1.05519,1.05872
2016.12.01,1.05877,1.06679,1.05838,1.06608
2016.12.02,1.06608,1.06890,1.06245,1.06607
2016.12.05,1.06611,1.07957,1.05051,1.07632
2016.12.06,1.07631,1.07845,1.06978,1.07177
2016.12.07,1.07166,1.07676,1.07091,1.07514
2016.12.08,1.07522,1.08724,1.05967,1.06142
2016.12.09,1.06142,1.06289,1.05302,1.05599
2016.12.12,1.05317,1.06509,1.05245,1.06336
2016.12.13,1.06330,1.06664,1.06031,1.06239
2016.12.14,1.06233,1.06692,1.04953,1.05347
2016.12.15,1.05348,1.05385,1.03656,1.04128
2016.12.16,1.04126,1.04733,1.04000,1.04492
2016.12.19,1.04372,1.04787,1.03918,1.04013
2016.12.20,1.04013,1.04172,1.03515,1.03871
2016.12.21,1.03870,1.04505,1.03817,1.04233
2016.12.22,1.04232,1.04986,1.04226,1.04355
2016.12.23,1.04347,1.04679,1.04257,1.04553
2016.12.26,1.04644,1.04650,1.04392,1.04538
2016.12.27,1.04546,1.04626,1.04316,1.04555
2016.12.28,1.04555,1.04790,1.03714,1.04126
2016.12.29,1.04127,1.04930,1.04078,1.04879
2016.12.30,1.04846,1.06517,1.04821,1.05283
2017.01.02,1.05143,1.05234,1.04494,1.04530
2017.01.03,1.04530,1.04893,1.03395,1.04044
2017.01.04,1.04044,1.04991,1.03891,1.04870
2017.01.05,1.04869,1.06145,1.04799,1.06006
2017.01.06,1.06026,1.06197,1.05242,1.05309
2017.01.09,1.05296,1.05822,1.05102,1.05734
2017.01.10,1.05736,1.06263,1.05501,1.05528
2017.01.11,1.05541,1.06222,1.04531,1.05816
2017.01.12,1.05818,1.06839,1.05706,1.06115
2017.01.13,1.06118,1.06727,1.05954,1.06400
2017.01.16,1.06036,1.06350,1.05785,1.05991
2017.01.17,1.05997,1.07186,1.05958,1.07124
2017.01.18,1.07110,1.07147,1.06275,1.06288
2017.01.19,1.06285,1.06758,1.05885,1.06631
2017.01.20,1.06630,1.07088,1.06243,1.06991
2017.01.23,1.07005,1.07683,1.06935,1.07642
2017.01.24,1.07643,1.07741,1.07195,1.07303
2017.01.25,1.07296,1.07689,1.07105,1.07472
2017.01.26,1.07473,1.07649,1.06568,1.06808
2017.01.27,1.06794,1.07242,1.06576,1.06958
2017.01.30,1.07200,1.07394,1.06195,1.06916
2017.01.31,1.06948,1.08114,1.06839,1.07964
2017.02.01,1.07964,1.08065,1.07290,1.07674
2017.02.02,1.07683,1.08281,1.07552,1.07573
2017.02.03,1.07572,1.07968,1.07116,1.07853
2017.02.06,1.07889,1.07905,1.07049,1.07486
2017.02.07,1.07495,1.07496,1.06553,1.06816
2017.02.08,1.06824,1.07131,1.06398,1.06973
2017.02.09,1.06971,1.07088,1.06501,1.06538
2017.02.10,1.06543,1.06669,1.06070,1.06392
2017.02.13,1.06275,1.06576,1.05912,1.05965
2017.02.14,1.05948,1.06326,1.05600,1.05761
2017.02.15,1.05761,1.06084,1.05206,1.05985
2017.02.16,1.05983,1.06786,1.05902,1.06727
2017.02.17,1.06725,1.06760,1.06047,1.06093
2017.02.20,1.06074,1.06320,1.06024,1.06128
2017.02.21,1.06128,1.06145,1.05252,1.05358
2017.02.22,1.05358,1.05731,1.04929,1.05576
2017.02.23,1.05576,1.05945,1.05368,1.05802
2017.02.24,1.05808,1.06171,1.05559,1.05608
2017.02.27,1.05627,1.06300,1.05508,1.05863
2017.02.28,1.05856,1.06294,1.05686,1.05755
2017.03.01,1.05748,1.05885,1.05134,1.05458
2017.03.02,1.05456,1.05507,1.04941,1.05058
2017.03.03,1.05058,1.06232,1.05011,1.06214
2017.03.06,1.06088,1.06394,1.05740,1.05812
2017.03.07,1.05812,1.06018,1.05575,1.05649
2017.03.08,1.05645,1.05732,1.05341,1.05398
2017.03.09,1.05393,1.06143,1.05243,1.05753
2017.03.10,1.05753,1.06983,1.05716,1.06738
2017.03.12,1.06773,1.06875,1.06766,1.06843
2017.03.13,1.06845,1.07135,1.06514,1.06530
2017.03.14,1.06528,1.06617,1.05992,1.06072
2017.03.15,1.06073,1.07392,1.06037,1.07355
2017.03.16,1.07353,1.07735,1.07050,1.07712
2017.03.17,1.07712,1.07815,1.07268,1.07387
2017.03.19,1.07327,1.07399,1.07327,1.07385
2017.03.20,1.07385,1.07765,1.07244,1.07360
2017.03.21,1.07361,1.08184,1.07185,1.08060
2017.03.22,1.08061,1.08239,1.07752,1.07915
2017.03.23,1.07918,1.08041,1.07672,1.07820
2017.03.24,1.07820,1.08173,1.07596,1.07971
2017.03.27,1.08381,1.09053,1.08265,1.08630
2017.03.28,1.08631,1.08719,1.07981,1.08120
2017.03.29,1.08119,1.08258,1.07392,1.07647
2017.03.30,1.07646,1.07690,1.06712,1.06733
2017.03.31,1.06733,1.07011,1.06507,1.06570
2017.04.03,1.06593,1.06803,1.06417,1.06678
2017.04.04,1.06677,1.06763,1.06350,1.06719
2017.04.05,1.06720,1.06884,1.06343,1.06615
2017.04.06,1.06615,1.06833,1.06282,1.06430
2017.04.07,1.06432,1.06656,1.05799,1.05894
2017.04.10,1.05874,1.06059,1.05691,1.05947
2017.04.11,1.05950,1.06293,1.05778,1.06032
2017.04.12,1.06032,1.06744,1.05881,1.06630
2017.04.13,1.06630,1.06768,1.06083,1.06123
2017.04.14,1.06123,1.06291,1.06050,1.06099
2017.04.17,1.06163,1.06698,1.06020,1.06419
2017.04.18,1.06418,1.07352,1.06365,1.07296
2017.04.19,1.07296,1.07361,1.06991,1.07104
2017.04.20,1.07105,1.07768,1.07081,1.07158
2017.04.21,1.07156,1.07372,1.06816,1.07235
2017.04.24,1.09190,1.09191,1.08200,1.08664
2017.04.25,1.08662,1.09493,1.08507,1.09238
2017.04.26,1.09240,1.09500,1.08550,1.09024
2017.04.27,1.09029,1.09320,1.08509,1.08715
2017.04.28,1.08715,1.09467,1.08563,1.08976
2017.05.01,1.09095,1.09230,1.08834,1.08974
2017.05.02,1.08973,1.09324,1.08874,1.09280
2017.05.03,1.09283,1.09361,1.08821,1.08848
2017.05.04,1.08851,1.09864,1.08741,1.09833
2017.05.05,1.09829,1.09986,1.09471,1.09980
2017.05.08,1.10192,1.10213,1.09157,1.09227
2017.05.09,1.09228,1.09328,1.08627,1.08717
2017.05.10,1.08718,1.08973,1.08526,1.08660
2017.05.11,1.08666,1.08923,1.08386,1.08600
2017.05.12,1.08599,1.09336,1.08550,1.09315
2017.05.15,1.09299,1.09887,1.09219,1.09741
2017.05.16,1.09741,1.10964,1.09735,1.10818
2017.05.17,1.10817,1.11614,1.10801,1.11579
2017.05.18,1.11581,1.11711,1.10750,1.11023
2017.05.19,1.11022,1.12110,1.10960,1.12068
2017.05.22,1.11949,1.12628,1.11607,1.12363
2017.05.23,1.12363,1.12673,1.11743,1.11817
2017.05.24,1.11819,1.12192,1.11678,1.12176
2017.05.25,1.12176,1.12496,1.11930,1.12092
2017.05.26,1.12091,1.12338,1.11598,1.11782
2017.05.29,1.11694,1.11891,1.11611,1.11638
2017.05.30,1.11636,1.12047,1.11089,1.11852
2017.05.31,1.11853,1.12513,1.11639,1.12425
2017.06.01,1.12424,1.12560,1.12014,1.12115
2017.06.02,1.12113,1.12844,1.12043,1.12798
2017.06.05,1.12720,1.12830,1.12336,1.12533
2017.06.06,1.12534,1.12831,1.12397,1.12756
2017.06.07,1.12756,1.12815,1.12033,1.12550
2017.06.08,1.12556,1.12684,1.11939,1.12135
2017.06.09,1.12134,1.12363,1.11656,1.11953
2017.06.12,1.12066,1.12313,1.11912,1.12015
2017.06.13,1.12015,1.12240,1.11845,1.12099
2017.06.14,1.12099,1.12951,1.11923,1.12157
2017.06.15,1.12159,1.12278,1.11315,1.11428
2017.06.16,1.11426,1.12007,1.11377,1.11949
2017.06.19,1.12041,1.12119,1.11423,1.11478
2017.06.20,1.11477,1.11642,1.11182,1.11331
2017.06.21,1.11332,1.11683,1.11265,1.11670
2017.06.22,1.11667,1.11771,1.11386,1.11518
2017.06.23,1.11515,1.12081,1.11444,1.11923
2017.06.26,1.11961,1.12190,1.11711,1.11800
2017.06.27,1.11801,1.13486,1.11783,1.13368
2017.06.28,1.13359,1.13898,1.12907,1.13762
